1181	324.249
1182	324.253
1183	324.256
1184	324.26
1185	324.263
1186	324.267
1187	324.27
1188	324.274
1189	324.278
1190	324.281
1191	324.285
1192	324.288
1193	324.292
1194	324.295
1195	324.299
1196	324.303
1197	324.306
1198	324.31
1199	324.314
1200	324.317
1201	324.321
1202	324.325
1203	324.328
1204	324.332
1205	324.336
1206	324.339
1207	324.343
1208	324.347
1209	324.351
1210	324.354
1211	324.358
1212	324.362
1213	324.366
1214	324.37
1215	324.374
1216	324.377
1217	324.381
1218	324.385
1219	324.389
1220	324.393
1221	324.397
1222	324.401
1223	324.405
1224	324.409
1225	324.413
1226	324.417
1227	324.421
1228	324.425
1229	324.429
1230	324.433
1231	324.438
1232	324.442
1233	324.446
1234	324.45
1235	324.454
1236	324.458
1237	324.463
1238	324.467
1239	324.471
1240	324.476
1241	324.48
1242	324.484
1243	324.489
1244	324.493
1245	324.498
1246	324.502
1247	324.507
1248	324.511
1249	324.516
1250	324.52
1251	324.525
1252	324.53
1253	324.534
1254	324.539
1255	324.544
1256	324.548
1257	324.553
1258	324.558
1259	324.563
1260	324.568
1261	324.573
1262	324.578
1263	324.583
1264	324.588
1265	324.593
1266	324.598
1267	324.603
1268	324.608
1269	324.614
1270	324.619
1271	324.624
1272	324.63
1273	324.635
1274	324.64
1275	324.646
1276	324.652
1277	324.657
1278	324.663
1279	324.668
1280	324.674
1281	324.68
1282	324.686
1283	324.692
1284	324.698
1285	324.704
1286	324.71
1287	324.716
1288	324.722
1289	324.728
1290	324.735
1291	324.741
1292	324.748
1293	324.754
1294	324.761
1295	324.767
1296	324.774
1297	324.781
1298	324.787
1299	324.794
1300	324.801
1301	324.808
1302	324.815
1303	324.822
1304	324.83
1305	324.837
1306	324.844
1307	324.852
1308	324.859
1309	324.866
1310	324.874
1311	324.882
1312	324.889
1313	324.897
1314	324.905
1315	324.913
1316	324.92
1317	324.928
1318	324.936
1319	324.944
1320	324.952
1321	324.961
1322	324.969
1323	324.977
1324	324.985
1325	324.993
1326	325.001
1327	325.01
1328	325.018
1329	325.026
1330	325.034
1331	325.043
1332	325.051
1333	325.059
1334	325.067
1335	325.075
1336	325.083
1337	325.092
1338	325.1
1339	325.108
1340	325.116
1341	325.124
1342	325.132
1343	325.141
1344	325.149
1345	325.157
1346	325.166
1347	325.174
1348	325.183
1349	325.191
1350	325.199
1351	325.208
1352	325.216
1353	325.225
1354	325.233
1355	325.241
1356	325.25
1357	325.258
1358	325.266
1359	325.274
1360	325.283
1361	325.291
1362	325.299
1363	325.307
1364	325.315
1365	325.323
1366	325.331
1367	325.339
1368	325.347
1369	325.355
1370	325.363
1371	325.371
1372	325.379
1373	325.387
1374	325.394
1375	325.402
1376	325.41
1377	325.417
1378	325.425
1379	325.433
1380	325.44
1381	325.448
1382	325.455
1383	325.463
1384	325.47
1385	325.478
1386	325.486
1387	325.493
1388	325.5
1389	325.508
1390	325.515
1391	325.523
1392	325.53
1393	325.538
1394	325.545
1395	325.553
1396	325.561
1397	325.568
1398	325.576
1399	325.583
1400	325.591
1401	325.599
1402	325.607
1403	325.615
1404	325.623
1405	325.631
1406	325.639
1407	325.647
1408	325.655
1409	325.663
1410	325.672
1411	325.68
1412	325.689
1413	325.698
1414	325.707
1415	325.716
1416	325.725
1417	325.734
1418	325.744
1419	325.753
1420	325.763
1421	325.773
1422	325.784
1423	325.794
1424	325.805
1425	325.816
1426	325.827
1427	325.839
1428	325.851
1429	325.863
1430	325.876
1431	325.889
1432	325.902
1433	325.916
1434	325.93
1435	325.944
1436	325.959
1437	325.975
1438	325.991
1439	326.008
1440	326.025
1441	326.043
1442	326.061
1443	326.08
1444	326.1
1445	326.121
1446	326.142
1447	326.164
1448	326.187
1449	326.211
1450	326.236
1451	326.262
1452	326.289
1453	326.318
1454	326.347
1455	326.378
1456	326.41
1457	326.444
1458	326.479
1459	326.515
1460	326.553
1461	326.593
1462	326.635
1463	326.679
1464	326.725
1465	326.773
1466	326.823
1467	326.875
1468	326.93
1469	326.988
1470	327.048
1471	327.111
1472	327.178
1473	327.247
1474	327.32
1475	327.397
1476	327.477
1477	327.56
1478	327.646
1479	327.732
1480	327.814
1481	327.892
1482	327.967
1483	328.038
1484	328.105
1485	328.168
1486	328.228
1487	328.285
1488	328.339
1489	328.389
1490	328.437
1491	328.482
1492	328.525
1493	328.565
1494	328.602
1495	328.638
1496	328.67
1497	328.701
1498	328.729
1499	328.756
1500	328.78
1501	328.803
1502	328.823
1503	328.842
1504	328.858
1505	328.873
1506	328.886
1507	328.897
1508	328.907
1509	328.915
1510	328.921
1511	328.925
1512	328.927
1513	328.928
1514	328.927
1515	328.924
1516	328.919
1517	328.913
1518	328.904
1519	328.894
1520	328.882
1521	328.867
1522	328.851
1523	328.833
1524	328.812
1525	328.789
1526	328.764
1527	328.737
1528	328.707
1529	328.674
1530	328.639
1531	328.601
1532	328.56
1533	328.517
1534	328.47
1535	328.42
1536	328.37
1537	328.32
1538	328.274
1539	328.231
